category,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
increasing,4655.94,5841.47,5868.32,6668.59,8266.98,8709.94,8965.78,10211.48,10568.97,11368.21,12479.96,12331.6
increasing,4575.3,5544.82,5728.5,6133.51,7581.07,7620.15,8271.0,8371.46,9203.28,9965.72,10137.19,11168.23
increasing,1321.32,2256.78,2920.04,4798.84,4777.91,5118.28,6744.77,6645.73,8074.08,7920.0,8997.31,10467.58
increasing,10025.36,10532.08,11152.24,11813.54,12073.07,13116.77,13958.16,15309.31,15756.73,15639.89,17221.64,17670.82
increasing,1368.12,2758.02,3759.03,4527.83,4549.16,5599.69,6699.64,7801.29,7963.89,8908.62,9310.14,10083.35
increasing,391.25,414.95,424.58,431.22,454.35,478.87,480.87,508.86,489.49,532.55,541.42,553.15
increasing,224.09,242.15,264.32,262.98,274.5,290.53,314.93,324.22,331.46,353.04,363.62,383.91
increasing,416.32,437.11,453.73,460.81,494.73,511.64,526.45,541.41,547.46,574.12,592.1,604.98
increasing,489.64,490.35,502.93,512.76,512.59,537.13,549.74,577.66,572.12,587.42,597.23,601.75
increasing,501.36,510.22,521.76,522.49,548.14,542.01,565.65,586.9,578.44,592.37,607.79,615.34
increasing,3351.19,3359.92,3361.67,3370.19,3371.28,3382.17,3380.86,3386.66,3394.16,3393.59,3401.92,3409.28
increasing,3060.11,3067.37,3066.75,3072.14,3083.5,3088.45,3093.95,3099.89,3102.35,3110.83,3116.66,3119.18
increasing,2015.54,2016.77,2017.22,2027.86,2028.4,2038.79,2045.14,2044.68,2055.13,2058.81,2065.27,2073.67
increasing,2184.31,2190.78,2199.52,2207.17,2213.16,2221.26,2224.7,2235.84,2236.18,2252.6,2251.66,2252.8
increasing,2558.8,2567.44,2570.28,2577.34,2581.38,2584.64,2587.31,2590.26,2597.65,2605.64,2608.65,2609.57
up_slowed,9081.39,10938.12,11808.29,12115.41,13398.86,14126.08,14939.53,15508.41,15117.9,15824.4,16907.58,17409.48
up_slowed,9026.49,12085.59,11674.33,12779.73,13478.58,14068.22,14328.28,15438.08,15393.22,16220.18,16688.16,17492.04
up_slowed,5436.43,5950.56,7195.39,8468.58,8745.43,8933.11,9625.14,10659.78,10666.28,11498.86,11914.51,12127.34
up_slowed,5101.25,7345.25,7905.07,9227.97,9285.31,10169.86,10995.6,11694.58,11453.76,12299.78,12748.89,13168.81
up_slowed,5447.61,7770.44,9159.63,9513.49,9216.85,10277.97,11582.03,11391.98,12405.55,13075.95,12930.03,13778.04
up_slowed,294.79,314.96,353.35,345.45,365.98,382.46,403.66,393.45,423.12,424.76,427.25,447.4
up_slowed,128.8,155.72,178.96,199.81,222.15,212.64,253.2,231.89,258.4,275.78,284.18,287.36
up_slowed,124.59,158.7,170.82,177.02,199.38,206.45,220.13,228.75,228.55,239.39,256.79,264.4
up_slowed,505.23,518.39,542.9,551.66,564.25,585.31,594.45,604.9,618.46,619.1,633.16,635.27
up_slowed,257.32,273.89,286.82,299.4,301.34,324.46,316.73,323.21,342.42,347.52,353.39,359.94
