category,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
increasing,917.8175014154068,-2184.528516011559,353.0026321684867,3469.408486825621,4244.472148745397,2268.185850475102,4376.2829188082205,2180.501521988011,3534.764696012275,5235.805596659847,4818.234799475178,8782.400013215667
increasing,1225.565257284751,4254.0059952522515,2567.406944056642,2777.0177831579176,4273.112729695295,3491.425562206756,4876.500721186737,5075.204613356,8604.780406736112,7764.493829735698,8645.073318878727,7205.666424102627
increasing,423.4917009314032,982.6270721427844,1234.6861758602124,1606.073761345421,1013.9060147491517,2092.584021794254,1818.8839761768918,3026.3597837634975,4150.559794325822,6759.518683042776,5628.725664426242,7806.550192938716
increasing,1030.0846964014602,1501.6363280908351,1693.856215427391,2861.2582812105225,3449.297304507492,5209.375704964536,4844.473817820714,5573.207545212251,7422.872876539833,6990.232352701627,7913.2039835537435,8577.336739201584
increasing,1598.2476153644373,1715.3595500822198,1212.3460756121256,1293.9846298990333,574.0094246592835,2804.1352725077436,3244.3383193194863,2762.4873587417096,2818.0728749778696,3247.889019583477,4243.679649550948,4778.864973360918
increasing,538.6311237887483,1202.2819234015294,460.5302153912834,1088.6739991605787,478.605035238323,667.8833138158191,1784.7818565144785,2750.358070403396,3671.7478873047157,3948.204347624602,6813.103105542458,5525.317901377307
increasing,2104.122446611007,2180.6252059695967,1832.9829144490552,3274.190102658888,2531.057240161719,2705.559786060252,1440.1041800545543,3039.4018966155268,4065.858674769165,3748.4163302711895,4646.868058826068,5985.021059483653
increasing,1387.9602527659931,1182.6671603249617,1996.0589064186765,2382.9757517133894,2656.5080756018833,3154.541377740741,3360.021039787876,4539.591877087496,3622.143549086198,5539.965885429705,5210.366575210667,5266.172395639804
increasing,762.9818692267066,2453.5835396913026,298.5779988390053,385.06824278499687,2009.3280026206787,1875.5595019270318,2332.0264014614017,2780.228668902864,3956.5569091551492,4174.71964091151,4436.312167155758,5021.039461772677
increasing,-476.96104028315375,-260.7438704352595,266.3717686263598,-152.1519539643619,593.2014788028062,2948.957063151567,2042.4047787204138,2085.6521904516285,3610.154788264339,4060.7976025443722,4661.764611141935,6042.163545855367
increasing,1708.69099632761,689.7678058263216,3152.270566765046,2297.3621415815123,3929.041333106667,4001.5512085978744,4816.419343968118,6629.689191876287,5837.976778156971,8453.62450230717,8811.840812011795,8848.007192857069
increasing,1106.9405985085104,1885.7791883003129,1023.2747007691671,889.9661380314033,3157.455499350178,2936.9973329345626,4725.4601565514195,4673.457104728772,5469.660054305555,8067.878656135426,8815.099229219613,8944.440225868158
increasing,1731.9427467321452,2771.2472785248274,613.4731875520628,1848.8687511619175,3475.9491341470143,3698.774353227804,4578.6785660957985,4002.3945344808926,6207.072295869016,8568.180613141853,7283.061136664396,8499.234812461438
increasing,236.5639193351807,624.3076112536172,500.2848132204831,-32.16795394096414,868.1515005995919,1471.211030639301,1906.6760903939658,2126.925411258129,3112.980539304342,3392.869690104334,4794.121208624236,5093.992698487024
increasing,1165.72187595337,1834.652270602929,4031.8158548471865,2020.4571748222124,2449.181550351226,2888.70582150108,3997.429811774532,4054.1807539475085,5074.356476644762,6980.130713856766,7169.797841443034,8100.000191065765
increasing_slow,1833.2421593084116,1466.386283669197,2611.905912178579,3381.4045056747696,3724.6559719127254,4481.021879115336,5970.184807065947,5282.160017684751,4997.142645941471,6329.0258010209645,6376.639567073954,6346.532263719843
increasing_slow,560.7948592442381,2875.8293358051055,2640.069611397111,4207.767508508741,3552.0231726987463,5139.96066481004,3720.507645254509,5287.459584750377,4183.337209569189,7306.677813425423,5998.64629145426,7072.069726209274
increasing_slow,2118.6772277991545,2750.112986676176,3395.0482214420063,4721.970634077748,4401.8838981312465,4319.044409425334,3213.6730111028305,5782.234326086216,3637.0057298807747,4768.25307049803,5844.922454733295,5281.08090069317
increasing_slow,-484.0781975759536,-1397.0782682504266,880.9751112439172,3067.540003793635,1949.3339045005212,6524.123103041882,5340.153539916431,5717.973449654821,6950.313822563432,7068.33704792992,7859.110237324698,7645.6516171722815
increasing_slow,-11.625292452820304,778.4727443958479,1024.0265473519262,581.1365944909322,4605.041138478,4520.454768693478,5230.799511396866,7916.390195050849,5212.80608764813,4653.645513726622,6869.671839197305,6806.50982579801
increasing_slow,338.86638049472396,98.70552742542712,1330.1241304279188,2301.822943289809,3079.7874811325128,3009.479044098721,3634.9024930125697,4154.63075434774,4410.313980650504,4471.768231698003,4490.495182360716,5403.362298563023
increasing_slow,507.45587055044666,219.78918593476538,64.1553948873131,2894.627450034273,2857.75790065425,3835.2338015887694,4810.816681115483,5348.310545875568,7229.879411689796,5827.313753214756,6725.807369228182,7861.625112854376
increasing_slow,956.8566093110621,3892.022537633168,6163.613479344376,7019.505618039157,5345.520671400637,6534.400864718548,7110.754653142181,8126.034346797438,9555.559970114296,9365.923546845597,9798.098040698227,8155.978843689114
increasing_slow,1567.6214309453942,1542.2763392558293,1858.4366313187384,2731.099760281746,3590.572658592219,4428.794332971243,4674.816108347484,4936.259002180037,5284.916406952863,5529.171784660621,5851.975210858384,6247.040580659169
increasing_slow,2153.881939215459,3979.126120760441,4101.828434891541,4544.017530313713,5215.955925813282,6006.658815646129,6386.176155932816,6450.790372977855,6595.458215729291,7232.895432970724,9060.182382700816,8349.842451930464
increasing_slow,2232.9034823162847,2539.4662038489573,3089.3013423942907,3873.390314417064,3540.3332634116437,4162.395554938866,3257.7600362959524,4125.159180925814,4852.194355678527,5247.229753146898,4881.262517683817,5890.11468011978
increasing_slow,3283.982696566671,3282.771106586782,4143.8319184175625,4566.167996497467,5043.690700029065,5401.5332585088845,6641.903029656067,5697.968728351489,6348.246315302634,7053.035964115104,6566.614300906051,7755.39260227526
increasing_slow,908.0776448699952,1063.9591556553057,1810.2078187830252,1941.4954199795607,2787.5252059822224,3902.7870258160438,4608.241149679284,5503.81030622996,6620.024444705997,5839.881941368779,5729.619323587195,5911.511038435104
increasing_slow,593.4332233243373,2159.6532473268676,4485.782481461481,4088.8363662391425,5842.237463287521,4605.660766831976,6917.491931582156,7220.014614639072,7391.466986285053,7813.929694383212,8124.233490292243,8854.64385933797
increasing_slow,591.0075136777353,433.74278015226747,190.62818172042478,1223.6947889308726,2549.7995129628703,3203.9743972033043,3368.3730370630565,5580.394739201242,5133.710168616698,5102.938425036855,5436.371128904521,5836.219307751406
neutral,2297.172655155285,4970.562254273905,4966.290450509292,2107.857841003681,1133.4506850266844,2805.6433924552575,5878.450619768239,1292.277592962918,3209.2914558614393,3544.80433855485,4263.840151860825,2369.7379355462804
neutral,1898.2865942910253,7077.054376445428,5750.849693031085,2399.6945863438873,5816.580030807339,5814.074019207596,3783.7917709082426,9094.475630895044,1364.8681025726196,8581.436556026138,2947.6240351379256,2247.2038431359106
neutral,5678.818482210225,3192.3162656939585,2877.2658452166856,3668.759493992564,5969.068292339287,6405.275316157331,770.7537171930223,380.33179978263524,5899.410080245327,1448.9130751179255,295.5341304090939,4056.1598341555487
neutral,5254.293922008979,5486.28766899335,2277.0888826357004,5518.270118103238,2539.44648661291,1183.94880057897,6487.944699316343,2673.5693862493617,3719.5148529630465,6885.246236807527,3616.31379892025,5087.559731945897
neutral,571.9523653493517,5985.111830339744,2907.2429813372123,5124.953317019173,4029.4150496428597,2231.300909207017,4688.18605801402,5494.370234489959,4805.689912226048,3676.039911669315,3494.351466407915,5039.1069777605935
neutral,2018.4365852503533,6404.087292325723,2685.7593299230557,3894.4430904074334,1189.6834718592631,5127.174438835862,518.2012051041036,4235.370548933002,5807.712252139765,4978.06453914996,5331.257551185743,2346.327625664706
neutral,3109.395354260047,4039.7111044027806,5625.198216985769,4457.612063841853,4281.711074622332,5103.925536632459,226.92921181053728,731.9412582366324,807.5421649551382,1827.763782067663,1945.0463096396202,2081.0214332480696
neutral,2594.2504533095303,3703.011792791411,3987.771865486087,6449.848407695312,1804.640058050045,2851.187297712857,2372.6112486171073,972.6984274976986,3287.799639500083,2264.0825775034095,1010.150084817455,1980.339024333876
neutral,8334.164579719261,5047.104338392741,1629.5894723838765,6238.583211149562,8714.105322255939,4424.616214778878,5046.42995513104,6322.702919362105,4962.000914181934,9583.577221093161,8476.213789938214,5160.950789673228
neutral,2098.3210468834604,2832.057103955062,1829.8722559744992,3948.5777405385625,445.44171947957693,3726.408508376629,1327.5803709086956,3011.4865999918175,7946.983312126923,2460.5657191327823,432.27590465949623,5990.232871436314
